1,Rossi,Alberto,2001-12-03,2020-12-03,3282875963,AlbertoRossi@gmail.com,2,EF221HU,peugeot,208,elettrica,2021-12-03,"0,25",2022-08-12,2022-08-15,678
1,Rossi,Alberto,2001-12-03,2020-12-03,3282875963,AlbertoRossi@gmail.com,3,GA356PO,bmw,I3,diesel,2022-07-09,"0,3",2022-08-15,2022-08-19,2078
1,Rossi,Alberto,2001-12-03,2020-12-03,3282875963,AlbertoRossi@gmail.com,6,GB334YH,audi,Q6,elettrica,2021-12-30,"0,35",2022-08-20,2022-08-25,780
2,Verdicchi,Chiara,1999-11-04,2020-11-04,3282877214,ChiaraVerdicchi@gmail.com,3,GA356PO,bmw,I3,diesel,2022-07-09,"0,3",2022-08-15,2022-08-21,890
2,Verdicchi,Chiara,1999-11-04,2020-11-04,3282877214,ChiaraVerdicchi@gmail.com,4,FD761LK,citroen,C4,benzina,2022-01-03,"0,2",2022-08-18,2022-08-23,650
2,Verdicchi,Chiara,1999-11-04,2020-11-04,3282877214,ChiaraVerdicchi@gmail.com,3,GA356PO,bmw,I3,diesel,2022-07-09,"0,3",2022-08-20,2022-08-25,2310
3,Nerini,Sara,1986-10-05,2022-10-05,3282897514,SaraNerini@gmail.com,5,GE606WD,hyundai,Kona,elettrica,2021-12-17,"0,25",2022-08-25,2022-08-31,950
3,Nerini,Sara,1986-10-05,2022-10-05,3282897514,SaraNerini@gmail.com,2,EF221HU,peugeot,208,elettrica,2021-12-03,"0,25",2022-08-27,2022-09-01,500
3,Nerini,Sara,1986-10-05,2022-10-05,3282897514,SaraNerini@gmail.com,5,GE606WD,hyundai,Kona,elettrica,2021-12-17,"0,25",2022-08-29,2022-09-05,1200
4,Bianchetti,Franco,1987-02-06,2007-02-06,3282883544,FrancoBianchetti@gmail.com,5,GE606WD,hyundai,Kona,elettrica,2021-12-17,"0,25",2022-11-01,,
4,Bianchetti,Franco,1987-02-06,2007-02-06,3282883544,FrancoBianchetti@gmail.com,1,GG456JF,audi,A3,benzina,2022-06-10,"0,2",2022-09-06,2022-09-13,570
4,Bianchetti,Franco,1987-02-06,2007-02-06,3282883544,FrancoBianchetti@gmail.com,6,GB334YH,audi,Q6,elettrica,2021-12-30,"0,35",2022-09-08,2022-09-14,410
5,Fiaschetti,Luigi,2002-12-14,2021-12-14,3282876089,LuigiFiaschetti@gmail.com,1,GG456JF,audi,A3,benzina,2022-06-10,"0,2",2022-08-10,2022-08-15,560
